BEGIN: 13:24:38
"billto[1]";"billto[2]";"billto[3]";"billto[4]";"billto[5]";"billto[6]";"po_nbr";"po_rev";"po_ord_date";"po_vend";"poship";"vendor[1]";"vendor[2]";"vendor[3]";"vendor[4]";"vendor[5]";"vendor[6]";"shipto[1]";"shipto[2]";"shipto[3]";"shipto[4]";"shipto[5]";"shipto[6]";"vdattn";"po_confirm";"vend_phone";"po_buyer";"po_contact";"po_cr_terms";"po_shipvia";"terms";"po_fob";"po_rmks";"vatreg";"l_tx_misc1";"l_tx_misc2";"l_tx_misc3";"pod_line";"pod_part";"tax_flag";"pod_due_date";"qty_open";"pod_um";"pod_pur_cost";"ext_cost";"po_so_nbr";"pod_sod_line";"pod_rev";"discdesc";"pod_site";"pod_vpart";"pod_type";"mfgr";"mfgr_part";"desc1";"desc2";"pod_wip_lotser";"c-consigment-contract";"nontaxable_amt";"taxable_amt";"po_curr";"lines_total";"tax_date";"tax_total";"order_amt"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"HAB117F";"Y";08/03/07;0;"EA";.255;0;"";0;"";"";"PDC";"";"";"";"";"锁定环-（16800PCS）-C420 743/HAB117F";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";2;"HAB118F";"Y";08/03/07;0;"EA";.0306;0;"";0;"";"";"PDC";"";"";"";"";"销-（80000PCS)-C420042/H AB118F";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";3;"HAB146F";"Y";08/03/07;0;"EA";1.54;0;"";0;"";"";"PDC";"";"";"";"";"轴-（1741PCS）-HAB146F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";4;"JHT006F";"Y";08/03/14;0;"EA";.0206;0;"";0;"";"";"PDC";"";"";"";"";"垫片-A HAB022F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";5;"JHT007F";"Y";08/03/14;0;"EA";.0206;0;"";0;"";"";"PDC";"";"";"";"";"垫片-B HAB123F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";6;"JHT008F";"Y";08/03/14;0;"EA";.0155;0;"";0;"";"";"PDC";"";"";"";"";"垫片-C HAB124F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";7;"JHT009F";"Y";08/03/14;0;"EA";.0165;0;"";0;"";"";"PDC";"";"";"";"";"垫片-D HAB125F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";8;"JHT010F";"Y";08/03/14;0;"EA";.0288;0;"";0;"";"";"PDC";"";"";"";"";" ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";9;"JHT011F";"Y";08/03/14;0;"EA";.0288;0;"";0;"";"";"PDC";"";"";"";"";"垫片-D HABB127F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"080118A1";0;08/04/03;"OA001";"PDC";"台湾保来得股份有限公司";"台湾省苗栗县竹南镇大埔里8邻";"中 埔街3号";"台湾";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"卢先生";yes;"00886-37581121";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";10;"JHT012F";"Y";08/03/14;0;"EA";.113;0;"";0;"";"";"PDC";"";"";"";"";"垫片 HAB128F ";"";"";"合同: 寄售库存";0;0;"USD";0;08/04/03;0;0
